Year,Anomoly,CO2
1959,0.0596,315.97
1960,0.0204,316.91
1961,0.0775,317.64
1962,0.0888,318.45
1963,0.1068,318.99
1964,-0.1495,319.62
1965,-0.078,320.04
1966,-0.0227,321.38
1967,-0.0131,322.16
1968,-0.0296,323.04
1969,0.0929,324.62
1970,0.0372,325.68
1971,-0.0783,326.32
1972,0.0264,327.45
1973,0.1641,329.68
1974,-0.0719,330.18
1975,0.0034,331.11
1976,-0.0792,332.04
1977,0.1978,333.83
1978,0.1123,335.4
1979,0.2273,336.84
1980,0.2637,338.75
1981,0.2999,340.11
1982,0.1815,341.45
1983,0.3411,343.05
1984,0.149,344.65
1985,0.1342,346.12
1986,0.2296,347.42
1987,0.3696,349.18
1988,0.3757,351.57
1989,0.297,353.12
1990,0.4328,354.39
1991,0.4055,355.61
1992,0.2571,356.45
1993,0.2853,357.1
1994,0.3409,358.83
1995,0.4577,360.82
1996,0.3228,362.61
1997,0.5187,363.73
1998,0.6344,366.7
1999,0.4438,368.38
2000,0.4262,369.55
2001,0.5473,371.14
2002,0.6023,373.28
2003,0.6134,375.8
2004,0.5783,377.52
2005,0.6585,379.8
2006,0.6125,381.9
2007,0.61,383.79
2008,0.5419,385.6
2009,0.6367,387.43
2010,0.7014,389.9
2011,0.5788,391.65
2012,0.624,393.85
2013,0.6679,396.52
2014,0.7408,398.65
2015,0.8998,400.83
2016,0.9363,404.21
